Award Date,Grant Number,Proposal Number,Grant Title,State Name,Grantee Name,Award Dollars,Program Name,Program Area Name
2014-07-11,2013-41580-20800,2014-06475,USDA-NIFA Fort Hall Agricultural Extension Program,IDAHO,SAES - UNIVERSITY OF IDAHO,89939,EIRP Indian Reservation Program,"Smith-Lever 3B, 3C, and 3D Programs"
2014-07-21,2014-41310-01200,2014-06705,2014 State of Idaho FERS Retirement Contributions Program,IDAHO,UNIVERSITY OF IDAHO,24747,FERS Contributions Program,Other Programs
2014-07-16,2014-41200-01200,2014-07106,2014 State of Idaho Special Needs,IDAHO,UNIVERSITY OF IDAHO,74412,Cooperative Extension Programs at 1862 Land-Grant Institutions (Special Needs),"Smith-Lever 3B, 3C, and 3D Programs"
2015-06-10,2015-69004-23634,2014-07639,Risk Assessment and Eradication of Globodera spp. in U.S. Production of Potato,IDAHO,SAES - UNIVERSITY OF IDAHO,474907,Global Food Security:  Mitigating Crop and Livestock Losses,Agriculture and Food Research Initiative
2014-09-11,2014-70006-22497,2014-07649,Extension Implementation Program for IPM in Idaho 2014-2017,IDAHO,SAES - UNIVERSITY OF IDAHO,274300,Extension Implementation Program,Crop Protection and Pest Management
2014-08-18,2014-32100-06016,2014-07832,McIntire-Stennis Cooperative Forestry Research FY14,IDAHO,UNIVERSITY OF IDAHO,642589,McIntire-Stennis Cooperative Forestry Research,McIntire-Stennis Cooperative Forestry Research
2014-09-08,2014-45300-22312,2014-07957,National Biodiesel Fuel Education Program,IDAHO,UNIVERSITY OF IDAHO,192000,Biodiesel Fuel Education Program,Other Programs
2014-08-05,2014-41510-01200,2014-07975,FFY14 State of Idaho Expanded Food and Nutrition Education Program,IDAHO,UNIVERSITY OF IDAHO,388061,Expanded Food and Nutrition Education Formula Program,"Smith-Lever 3B, 3C, and 3D Programs"
2014-08-12,2014-36100-06016,2014-08528,Animal Health and Disease Program (AHD) for the Idaho Agricultural Experiment Station (IAES),IDAHO,UNIVERSITY OF IDAHO,47561,Animal Health and Disease Research Program,Animal Health Formula Program
2015-02-11,2015-46000-01200,2015-00229,2015 State of Idaho Renewable Resources Extension Act Program (RREA),IDAHO,UNIVERSITY OF IDAHO,11075,Renewable Resources Extension Act,Other Programs
2015-01-29,2015-32100-06016,2015-00264,FY15 McIntire Stennis (M-S) Cooperative Forestry Research Program,IDAHO,UNIVERSITY OF IDAHO,122092,McIntire-Stennis Cooperative Forestry Research,McIntire-Stennis Cooperative Forestry Research
2015-02-13,2015-41510-01200,2015-00439,FFY15 State of Idaho Expanded Food and Nutrition Education Program,IDAHO,UNIVERSITY OF IDAHO,73732,Expanded Food and Nutrition Education Formula Program,"Smith-Lever 3B, 3C, and 3D Programs"
2015-01-27,2015-41310-01200,2015-01115,2015 State of Idaho FERS Retirement Contributions Program,IDAHO,UNIVERSITY OF IDAHO,3155,FERS Contributions Program,Other Programs
2015-01-14,2015-31100-06016,2015-01304,2015 State of Idaho Research Projects The Hatch Act of 1887,IDAHO,UNIVERSITY OF IDAHO,370104,Hatch Act of 1887,Hatch Formula Programs
2015-02-10,2015-31200-06016,2015-01422,2015 State of Idaho Multi-State Projects The Hatch Act of 1887,IDAHO,UNIVERSITY OF IDAHO,154986,Hatch Act of 1887(Multistate Research Fund),Hatch Formula Programs
2015-02-18,2015-41100-01200,2015-01792,2015 State of Idaho Cooperative Extension Programs 1862 Land Grant Institution,IDAHO,UNIVERSITY OF IDAHO,541680,Cooperative Extension Programs at 1862 Land-Grant Institutions,"Smith-Lever 3B, 3C, and 3D Programs"
2015-01-27,2015-41200-01200,2015-01877,2014 State of Idaho Special Needs,IDAHO,UNIVERSITY OF IDAHO,14016,Cooperative Extension Programs at 1862 Land-Grant Institutions (Special Needs),"Smith-Lever 3B, 3C, and 3D Programs"
2015-04-02,2011-68002-30191,2015-02327,PNW Regional Approaches to Climate Change,IDAHO,SAES - UNIVERSITY OF IDAHO,4000000,Climate Change:  Regional Approaches to Climate Change,Agriculture and Food Research Initiative
2015-06-22,2013-41580-20799,2015-03391,Federally Registered Tribes Extension Program (FRTEP) Coeur d`Alene Reservation Project,IDAHO,SAES - UNIVERSITY OF IDAHO,78900,EIRP Indian Reservation Program,"Smith-Lever 3B, 3C, and 3D Programs"
2015-06-23,2013-41580-20800,2015-03401,USDA-NIFA Fort Hall Agricultural Extension Program,IDAHO,SAES - UNIVERSITY OF IDAHO,89939,EIRP Indian Reservation Program,"Smith-Lever 3B, 3C, and 3D Programs"
2015-06-30,2013-41580-20801,2015-03402,Federally Recognized Tribes Extension Program (FRTEP) Nez Perce Reservation,IDAHO,SAES - UNIVERSITY OF IDAHO,79400,EIRP Indian Reservation Program,"Smith-Lever 3B, 3C, and 3D Programs"
2015-03-31,2015-31100-06016,2015-03776,2015 State of Idaho Research Projects The Hatch Act of 1887,IDAHO,UNIVERSITY OF IDAHO,1567524,Hatch Act of 1887,Hatch Formula Programs
2015-04-17,2015-41100-01200,2015-03835,2015 State of Idaho Cooperative Extension Programs 1862 Land Grant Institution,IDAHO,UNIVERSITY OF IDAHO,2305283,Cooperative Extension Programs at 1862 Land-Grant Institutions,"Smith-Lever 3B, 3C, and 3D Programs"
2015-03-26,2015-31200-06016,2015-03895,2015 State of Idaho Multi-State Projects The Hatch Act of 1887,IDAHO,UNIVERSITY OF IDAHO,649709,Hatch Act of 1887(Multistate Research Fund),Hatch Formula Programs
2015-04-09,2015-41310-01200,2015-03996,2015 State of Idaho FERS Retirement Contributions Program,IDAHO,UNIVERSITY OF IDAHO,13752,FERS Contributions Program,Other Programs
2015-04-06,2015-41200-01200,2015-04044,2014 State of Idaho Special Needs,IDAHO,UNIVERSITY OF IDAHO,60396,Cooperative Extension Programs at 1862 Land-Grant Institutions (Special Needs),"Smith-Lever 3B, 3C, and 3D Programs"
2015-03-30,2015-46000-01200,2015-04091,2015 State of Idaho Renewable Resources Extension Act Program (RREA),IDAHO,UNIVERSITY OF IDAHO,42730,Renewable Resources Extension Act,Other Programs
2015-04-24,2015-41510-01200,2015-04233,FFY15 State of Idaho Expanded Food and Nutrition Education Program,IDAHO,UNIVERSITY OF IDAHO,314334,Expanded Food and Nutrition Education Formula Program,"Smith-Lever 3B, 3C, and 3D Programs"
2015-04-29,2015-32100-06016,2015-04243,FY15 McIntire Stennis (M-S) Cooperative Forestry Research Program,IDAHO,UNIVERSITY OF IDAHO,487838,McIntire-Stennis Cooperative Forestry Research,McIntire-Stennis Cooperative Forestry Research
2015-08-27,2015-70017-23932,2015-04755,Cultivating Success: A Comprehensive Beginning Farmer Training and Mentorship Program for Idaho,IDAHO,SAES - UNIVERSITY OF IDAHO,502731,"Beginning Farmer and Rancher Development Program, Standard",Beginning Farmer and Rancher
2015-10-26,2016-67017-24418,2015-05677,Chemical and Toxicological Fate of Ochratoxin A in Infant Cereals during Processing,IDAHO,SAES - UNIVERSITY OF IDAHO,474857,Improving Food Safety,Agriculture and Food Research Initiative
2015-12-15,2016-67018-24715,2015-05972,Strengthening and Increasing Study of Fundamental and Friction Behaviors of Food Products,IDAHO,SAES - UNIVERSITY OF IDAHO,28508,Improving Food Quality,Agriculture and Food Research Initiative
2015-11-25,2016-67018-24593,2015-05973,Acquisition of a Falling Number test system for elucidating the mechanism of wheat end-use quality related to pre-harvest sprouting,IDAHO,SAES - UNIVERSITY OF IDAHO,24165,Improving Food Quality,Agriculture and Food Research Initiative
2015-09-17,2015-38624-24298,2015-06584,Improving canola production and production systems with genetic and agronomic advances to increase canola acreage in the Pacific Northwest,IDAHO,SAES - UNIVERSITY OF IDAHO,168132,Supplemental and Alternative Crops,Other Programs
2015-06-01,2015-36100-06016,2015-07270,FFY15 Animal Health and Disease Program (AHD) for the Idaho Agricultural Experiment Station IAES,IDAHO,UNIVERSITY OF IDAHO,55708,Animal Health and Disease Research Program,Animal Health Formula Program
